name,price,url,image_url,type,size,vivino_score,store
Moselland Spätlese,3.99,https://www.ah.be/producten/product/wi165201,https://static.ah.nl/dam/product/AHI_4354523130313932363335?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.8,Albert Heijn
AH Vol & droge Zuid-Afrikaanse huiswijn wit,2.69,https://www.ah.be/producten/product/wi222372,https://static.ah.nl/dam/product/AHI_4354523130313835333834?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,,Albert Heijn
Terra viva Bio pinot grigio,6.99,https://www.ah.be/producten/product/wi183474/terra-viva-bio-pinot-grigio,https://static.ah.nl/dam/product/AHI_4d63576b4b66447a547869526a2d5f483954634f6441?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
Undurraga Chardonnay,3.99,https://www.ah.be/producten/product/wi115211/undurraga-chardonnay,https://static.ah.nl/dam/product/AHI_4354523130313839313531?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.3,Albert Heijn
Los Molinos Wit,3.99,https://www.ah.be/producten/product/wi53565,https://static.ah.nl/dam/product/AHI_4354523130313836373633?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.2,Albert Heijn
AH Fris & droge Chileense huiswijn wit,4.99,https://www.ah.be/producten/product/wi222362/ah-fris-en-droge-chileense-huiswijn-wit,https://static.ah.nl/dam/product/AHI_4354523130313931333034?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,2.7,Albert Heijn
AH Pinot grigio,4.99,https://www.ah.be/producten/product/wi222350,https://static.ah.nl/dam/product/AHI_4354523130313933343739?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.9,Albert Heijn
AH Chardonnay,4.99,https://www.ah.be/producten/product/wi222348,https://static.ah.nl/dam/product/AHI_43545239373837383232?revLabel=2&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.9,Albert Heijn
Sol y Nieve Rueda verdejo-viura,5.99,https://www.ah.be/producten/product/wi139508,https://static.ah.nl/dam/product/AHI_4354523130313930343835?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.6,Albert Heijn
AH Vol & droge Australische huiswijn wit,4.99,https://www.ah.be/producten/product/wi222361/ah-vol-en-droge-australische-huiswijn-wit,https://static.ah.nl/dam/product/AHI_4354523130313033323636?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,,Albert Heijn
Antonin Rodet Vin de france chardonnay,7.99,https://www.ah.be/producten/product/wi514634,https://static.ah.nl/dam/product/AHI_43545239383332313739?revLabel=2&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
Wild Pig Sauvignon blanc wijntap,10.99,https://www.ah.be/producten/product/wi559303/wild-pig-sauvignon-blanc-wijntap,https://static.ah.nl/dam/product/AHI_4354523130313939363436?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.2,Albert Heijn
AH Biologisch Chardonnay,2.89,https://www.ah.be/producten/product/wi183614/ah-biologisch-chardonnay,https://static.ah.nl/dam/product/AHI_4354523130313839383636?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,2.9,Albert Heijn
Zonin Soave Classico BEL,9.98,https://www.ah.be/producten/product/wi443584/zonin-soave-classico-bel,https://static.ah.nl/dam/product/AHI_3656474e4d48417153616d444278796e5a3544356851?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.3,Albert Heijn
Puklavec & Friends Sauvignon blanc & pinot grigio,6.99,https://www.ah.be/producten/product/wi440890,https://static.ah.nl/dam/product/AHI_6d6e6f4853636667534653716e504c4650634e4e3777?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.8,Albert Heijn
Hardys Wit wijntap,19.99,https://www.ah.be/producten/product/wi440976/hardys-wit-wijntap,https://static.ah.nl/dam/product/AHI_4354523130303830343430?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.6,Albert Heijn
Hardys Bin 141 colombard chardonnay,3.99,https://www.ah.be/producten/product/wi132984,https://static.ah.nl/dam/product/AHI_4833494d41586e4554306d6a333947324b3932415141?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
AH Excellent Selectie riesling,6.99,https://www.ah.be/producten/product/wi436957,https://static.ah.nl/dam/product/AHI_4354523130313832343330?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.6,Albert Heijn
Stormhoek Moscato,5.99,https://www.ah.be/producten/product/wi192807,https://static.ah.nl/dam/product/AHI_43545239363931313934?revLabel=4&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
Sélection Clémence Blanc,3.59,https://www.ah.be/producten/product/wi34340/selection-clemence-blanc,https://static.ah.nl/dam/product/AHI_434d50303236343238?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,,Albert Heijn
Stormhoek Chardonnay viognier,5.99,https://www.ah.be/producten/product/wi160499,https://static.ah.nl/dam/product/AHI_4354523130313633363734?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.1,Albert Heijn
La Motte Sauvignon blanc,9.99,https://www.ah.be/producten/product/wi183482,https://static.ah.nl/dam/product/AHI_434d50323331363334?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.6,Albert Heijn
AH Biologisch Sauvignon blanc,4.99,https://www.ah.be/producten/product/wi166919/ah-biologisch-sauvignon-blanc,https://static.ah.nl/dam/product/AHI_4354523130323037373236?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,,Albert Heijn
Origin Sauvignon blanc wijntap,9.99,https://www.ah.be/producten/product/wi492374/origin-sauvignon-blanc-wijntap,https://static.ah.nl/dam/product/AHI_30534b69334e355552774343644b4b5254764f744e77?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,4.0,Albert Heijn
Viña Albali Wit,2.29,https://www.ah.be/producten/product/wi421157/vina-albali-wit,https://static.ah.nl/dam/product/AHI_4354523130313837333332?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
Cono Sur Chardonnay bio,9.98,https://www.ah.be/producten/product/wi441000/cono-sur-chardonnay-bio,https://static.ah.nl/dam/product/AHI_4354523130313834323731?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
Cadis Garganega pinot grigio,4.99,https://www.ah.be/producten/product/wi371065,https://static.ah.nl/dam/product/AHI_346459347470375a5150616e69345967746779794441?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
Castaño Macabeo organic,5.49,https://www.ah.be/producten/product/wi440880/castano-macabeo-organic,https://static.ah.nl/dam/product/AHI_4354523130313732373338?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
Moselland Piesporter michelsberg,4.49,https://www.ah.be/producten/product/wi34296,https://static.ah.nl/dam/product/AHI_4c767530536a7463544b4735357154374364576d5667?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
Norton Colección torrontés,6.79,https://www.ah.be/producten/product/wi99190,https://static.ah.nl/dam/product/AHI_576458394d684447544a36775650636e627062547977?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
Aliwen Chardonnay reserva,6.99,https://www.ah.be/producten/product/wi128232,https://static.ah.nl/dam/product/AHI_4354523130313537303738?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
Antinori Santa cristina pinot grigio,9.99,https://www.ah.be/producten/product/wi155473,https://static.ah.nl/dam/product/AHI_6b432d337364573553416d54307541694e5a6b746c51?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.7,Albert Heijn
Viña Albali Organic verdejo wit wijntap,15.99,https://www.ah.be/producten/product/wi441025/vina-albali-organic-verdejo-wit-wijntap,https://static.ah.nl/dam/product/AHI_4354523130313835323136?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
Rodet Chablis,15.99,https://www.ah.be/producten/product/wi191549,https://static.ah.nl/dam/product/AHI_434d50323331363535?revLabel=7&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.6,Albert Heijn
Contenda White airén,3.99,https://www.ah.be/producten/product/wi222363/contenda-white-airen,https://static.ah.nl/dam/product/AHI_4354523130303830363831?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,2.8,Albert Heijn
Vermeersch Sauvignon blanc bel,7.49,https://www.ah.be/producten/product/wi496770/vermeersch-sauvignon-blanc-bel,https://static.ah.nl/dam/product/AHI_68334b4175797273546f6159376a5672365745695f67?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.8,Albert Heijn
Stormhoek Sauvignon blanc,5.99,https://www.ah.be/producten/product/wi164119,https://static.ah.nl/dam/product/AHI_43545239363931313933?revLabel=4&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.0,Albert Heijn
AH Excellent Selectie coteaux bourguignons chardonnay,9.99,https://www.ah.be/producten/product/wi387102,https://static.ah.nl/dam/product/AHI_4354523130313835373339?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.4,Albert Heijn
La Tulipe Chardonnay,6.99,https://www.ah.be/producten/product/wi202723,https://static.ah.nl/dam/product/AHI_4354523130313837313134?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.2,Albert Heijn
Antonin Rodet Bourgogne chardonnay,11.99,https://www.ah.be/producten/product/wi209979,https://static.ah.nl/dam/product/AHI_434d5034303237363935?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
AH Excellent Selectie rueda verdejo palacio almirante,6.99,https://www.ah.be/producten/product/wi411747,https://static.ah.nl/dam/product/AHI_434d50323837313136?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.6,Albert Heijn
AH Excellent Selectie grüner veltliner kamptal,4.99,https://www.ah.be/producten/product/wi459048/ah-excellent-selectie-gruner-veltliner-kamptal,https://static.ah.nl/dam/product/AHI_43545238303733373232?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.7,Albert Heijn
Blind River Sauvignon blanc,13.99,https://www.ah.be/producten/product/wi179455,https://static.ah.nl/dam/product/AHI_6174694b5753386652564f744b4976637a52796f6467?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.9,Albert Heijn
Georges Duboeuf Pouilly-fuissé,22.99,https://www.ah.be/producten/product/wi401869/georges-duboeuf-pouilly-fuisse,https://static.ah.nl/dam/product/AHI_434d50323630383435?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.9,Albert Heijn
Cadis Soave,4.99,https://www.ah.be/producten/product/wi165217,https://static.ah.nl/dam/product/AHI_4354523130313834333131?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.2,Albert Heijn
Dourthe Sauternes grands terroirs,8.99,https://www.ah.be/producten/product/wi169916/dourthe-sauternes-grands-terroirs,https://static.ah.nl/dam/product/AHI_3577796a7a566c78515f432d386b4666794e5f766e67?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.7,Albert Heijn
Viñas del Vero Luces blanco,5.99,https://www.ah.be/producten/product/wi365522,https://static.ah.nl/dam/product/AHI_434d50353433373136?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
Settesoli Pinot grigio wijntap,13.49,https://www.ah.be/producten/product/wi455490/settesoli-pinot-grigio-wijntap,https://static.ah.nl/dam/product/AHI_4354523130313834313136?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
La Tulipe Sauvignon blanc,6.99,https://www.ah.be/producten/product/wi99211,https://static.ah.nl/dam/product/AHI_4354523130303332393133?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.2,Albert Heijn
Thierry Vaute Muscat de beaumes de venise,8.99,https://www.ah.be/producten/product/wi160463/thierry-vaute-muscat-de-beaumes-de-venise,https://static.ah.nl/dam/product/AHI_4354523130313833333034?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.5,Albert Heijn
Penfolds Koonunga hill chardonnay,9.99,https://www.ah.be/producten/product/wi93724,https://static.ah.nl/dam/product/AHI_43545239373834363636?revLabel=3&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.6,Albert Heijn
Frontera Sauvignon blanc-pedro jiménez,4.99,https://www.ah.be/producten/product/wi129653,https://static.ah.nl/dam/product/AHI_5a6e715678475845545657726f746c72583542617a77?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.7,Albert Heijn
Zuccardi Brazos chardonnay,9.99,https://www.ah.be/producten/product/wi401926/zuccardi-brazos-chardonnay,https://static.ah.nl/dam/product/AHI_4354523130313933393034?revLabel=1&rendition=200x200_JPG_Q85&fileType=binary,White,Other,3.3,Albert Heijn
