name,price,url,image_url,type,size,vivino_score
Vins de France Bag in Box Délices du Terroir rouge 3L,9.99,https://www.carrefour.be/fr/vins-de-france-bag-in-box-delices-du-terroir-rouge-3l/07032651.html,https://cdn.carrefour.eu/420_07032651_main_20231114_01_PM.webp,Red,Box,3.4
Quay Landing Chardonnay 75cl,4.99,https://www.carrefour.be/fr/quay-landing-chardonnay-75cl/04031366.html,https://cdn.carrefour.eu/420_04031366_T1.webp,White,75cl,3.2
Chardonnay 3 L,13.99,https://www.carrefour.be/fr/chardonnay-3-l/06545962.html,https://cdn.carrefour.eu/420_06545962_T1.webp,White,Box,3.8
Piemonte Barolo Boschi dei Signori Rouge 75cl,17.99,https://www.carrefour.be/fr/piemonte-barolo-boschi-dei-signori-rouge-75cl/06444838.html,https://cdn.carrefour.eu/420_06444838.webp,Red,75cl,3.9
Bordeaux Château Gandoy Perrinat Rosé 75cl,7.99,https://www.carrefour.be/fr/bordeaux-chateau-gandoy-perrinat-rose-75cl/06579258.html,https://cdn.carrefour.eu/420_06579258_M1_20230320.webp,Rosé,75cl,3.9
Piccini Memŏro Blanc 75cl,7.99,https://www.carrefour.be/fr/piccini-mem%C5%8Fro-blanc-75cl/05443329.html,https://cdn.carrefour.eu/420_05443329_T1.webp,White,75cl,3.8
Santa Rita 120 Reserva Especial Cabernet Sauvignon Rouge 75cl,6.99,https://www.carrefour.be/fr/santa-rita-120-reserva-especial-cabernet-sauvignon-rouge-75cl/01334078.html,https://cdn.carrefour.eu/420_01334078_T1.webp,Red,75cl,3.3
Puglia Castello di Severino Rouge 75cl,5.99,https://www.carrefour.be/fr/puglia-castello-di-severino-rouge-75cl/05869832.html,https://cdn.carrefour.eu/420_05869832_T1.webp,Red,75cl,3.5
J.P. Chenet Cabernet-Syrah 3 L,17.49,https://www.carrefour.be/fr/j.p.-chenet-cabernet-syrah-3-l/04838401.html,https://cdn.carrefour.eu/420_04838401_T1.webp,Red,Box,
Loire Sancerre Castel Blanc 75cl,16.99,https://www.carrefour.be/fr/loire-sancerre-castel-blanc-75cl/06460492.html,https://cdn.carrefour.eu/420_06460492.webp,White,75cl,3.8
Vin de Pays d'oc Lalande Cabernet Sauvignon Rouge 75cl,4.99,https://www.carrefour.be/fr/vin-de-pays-doc-lalande-cabernet-sauvignon-rouge-75cl/05289254.html,https://cdn.carrefour.eu/420_05289254_M1_20230404.webp,Red,75cl,3.2
Spanje Vega la Luna Verdejo 750 ml,3.99,https://www.carrefour.be/fr/spanje-vega-la-luna-verdejo-750-ml/06191850.html,https://cdn.carrefour.eu/420_06191850_T1.webp,White,Other,3.8
Vin de Pays d'oc Lalande Merlot Rouge 75cl,4.99,https://www.carrefour.be/fr/vin-de-pays-doc-lalande-merlot-rouge-75cl/05290836.html,https://cdn.carrefour.eu/420_05290836_M1_20230605.webp,Red,75cl,3.4
Les Bouvreuils Côtes du Rhône Rouge 75 cl,3.99,https://www.carrefour.be/fr/les-bouvreuils-cotes-du-rhone-rouge-75-cl/00161578.html,https://cdn.carrefour.eu/420_00161578_T1.webp,Red,75cl,3.4
Bordeaux Supérieur La Cave d'Augustin Florent Rouge 75cl,4.99,https://www.carrefour.be/fr/bordeaux-superieur-la-cave-daugustin-florent-rouge-75cl/05728330.html,https://cdn.carrefour.eu/420_05728330_M1_20230320.webp,Red,75cl,3.6
